,job_id,canonical_tag_id,tag_name
312,5127,5,A/B testing
313,5127,322,Prototyping
314,5130,210,kubernetes
315,5130,324,Python
316,5130,220,Linux
317,5130,19,Amazon Web Services (AWS)
318,5130,124,Docker
319,5128,322,Prototyping
320,5128,13,Agile Methodologies
321,5128,429,User Interface Design
322,5128,433,UX Design
323,5128,5,A/B testing
324,4930,247,Microsoft Windows Server
325,4930,271,Nginx
326,4930,117,DevOps
327,4930,25,Ansible
328,4930,220,Linux
329,5359,187,iOS
330,5359,398,SWIFT
331,5359,277,Objective-C
332,6253,336,REST APIs
333,6253,195,JavaScript
334,6253,324,Python
335,6253,105,Databases
336,5657,195,JavaScript
337,5657,174,HTML
338,5657,90,CSS
339,6327,124,Docker
340,6327,352,Scala
341,6327,195,JavaScript
342,6327,415,Test Driven Development
343,6327,194,Java
344,6328,210,kubernetes
345,6328,124,Docker
346,6328,19,Amazon Web Services (AWS)
347,6328,198,Jenkins
348,6328,361,Shell Scripting
349,6817,194,Java
350,6817,335,Redis
351,6817,489,Cassandra
352,6817,376,Software Engineering
353,6817,220,Linux
354,6558,361,Shell Scripting
355,6558,220,Linux
356,6558,124,Docker
357,6558,117,DevOps
358,6557,91,Customer Acquisition
359,6557,518,Cyber Security
360,6557,492,Network Security
361,6557,195,JavaScript
362,6557,517,Security
363,7093,201,jQuery
364,7093,333,React
365,7093,195,JavaScript
366,7093,273,Node.js
367,7093,266,MySQL
368,7005,19,Amazon Web Services (AWS)
369,7005,509,Spark
370,7005,324,Python
371,7005,194,Java
372,7005,352,Scala
373,7687,92,Customer Experience
374,7687,268,Network Administration
375,6619,383,SQL
376,6619,20,Analytical Skills
377,6619,48,Business Intelligence
378,7261,174,HTML
379,7261,195,JavaScript
380,7261,333,React
381,7261,351,SASS
382,7261,90,CSS
383,7165,194,Java
384,7165,383,SQL
385,7165,382,Spring
386,7165,238,Maven
387,2998,307,PHP
388,2998,383,SQL
389,2998,175,HTTP
390,2998,203,JSON
