,id,company_id,experience_level,last_published_at,closed_at
5514,4480,1579,1.0,2017-11-23 10:48:11.297 UTC,2018-02-02 09:21:01.261 UTC
5515,5719,1659,2.0,2018-09-21 11:47:04.125 UTC,2019-01-17 09:32:56.251 UTC
5516,4588,1579,2.0,2017-12-26 15:48:33.388 UTC,2018-03-15 11:13:50.104 UTC
5517,3940,596,1.0,2017-07-21 19:28:33.984 UTC,2018-01-18 02:00:19.623 UTC
5518,4491,596,1.0,,2018-02-19 08:55:25.544 UTC
5519,4490,596,1.0,,2018-02-19 08:55:12.186 UTC
5520,3942,868,2.0,2017-07-21 20:08:10.66 UTC,2018-02-19 09:04:58.7 UTC
5521,4483,596,1.0,2017-12-12 10:54:53.935 UTC,2018-01-24 16:55:04.333 UTC
5522,4055,1967,2.0,2017-08-30 16:31:52.564 UTC,2017-12-28 10:36:00.889 UTC
5523,4051,1967,2.0,2017-08-29 16:32:58.514 UTC,2017-12-28 10:36:42.602 UTC
5524,4053,1967,3.0,2017-08-29 16:53:03.205 UTC,2017-12-27 18:16:06.952 UTC
5525,4080,1967,2.0,2017-08-30 11:02:33.71 UTC,2017-12-27 18:15:53.481 UTC
5526,4056,1967,2.0,2017-08-29 14:20:10.371 UTC,2017-12-28 10:36:23.431 UTC
5527,4071,1967,3.0,2017-08-29 14:31:10.21 UTC,2017-12-27 18:15:06.363 UTC
5528,4054,1967,2.0,2017-08-29 14:01:13.836 UTC,2017-12-27 18:15:24.306 UTC
5529,3761,1292,3.0,2017-06-22 11:16:18.057 UTC,2018-06-06 09:34:36.592 UTC
5530,3888,1609,1.0,2017-07-03 19:56:29.094 UTC,2018-07-23 11:46:30.085 UTC
5531,4084,1609,2.0,,
5532,4528,1651,2.0,2017-12-05 12:37:23.169 UTC,2018-06-26 02:00:27.188 UTC
5533,4624,2170,3.0,2018-01-25 10:54:44.513 UTC,2018-07-18 08:55:50.507 UTC
5534,4111,1967,4.0,2017-09-08 10:07:01.909 UTC,2018-04-09 09:55:51.935 UTC
5535,4687,1967,4.0,2018-01-23 22:55:07.888 UTC,2018-04-09 10:11:03.511 UTC
